Generasi 1
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin
0.002227171;25.561;6.210;27.702
0.0008351895;14.607;35.013;80.225
0.003410355;36.227;9.781;95.763
0.002853563;16.612;8.011;64.235
0.0006959912;2.487;11.846;83.344
0.0004175947;2.487;11.037;68.996
0.001948775;6.319;3.203;97.048
0.0009743877;4.296;9.737;62.033
0.001739978;2.487;9.781;58.492
0.004941534;18.614;14.013;82.374
0.0007655903;18.614;29.146;85.141
0.001183185;3.829;1.031;78.455
0.001322383;3.394;3.839;53.226
0.003897549;79.620;5.485;71.729
0.0005567929;42.941;16.097;41.545
0.001670379;3.910;30.625;92.429
0.001252784;4.008;25.328;41.885
0.007934305;6.159;21.151;97.048
0.0008351895;11.844;21.100;86.958
0.0004175947;9.485;44.239;69.453
0.006403118;6.319;9.047;95.763
0.0005567929;3.910;20.724;68.493
0.002018374;19.952;3.839;75.270
0.001113586;3.394;5.350;73.966
0.001183185;3.448;3.526;81.548
0.001252784;3.394;6.210;71.118
0.0006263921;5.200;17.152;71.729
0.001252784;14.607;1.163;62.033
0.002783964;25.561;3.839;87.172
0.003897549;22.222;5.485;71.729
0.00160078;3.394;39.344;59.170
0.001183185;46.382;9.737;89.363
0.00960469;13.354;9.047;86.958
0.002783964;32.177;14.272;83.057
0.001461582;3.910;39.761;97.900
0.001391983;3.448;35.091;54.628
0.0009743877;3.910;14.013;97.307
0.004941534;76.825;14.013;97.307
0.0008351895;3.910;14.013;69.327
0.004593539;2.487;9.781;82.604
0.001252784;83.458;1.031;78.455
0.0008351895;4.147;1.031;78.455
0.01064868;10.225;16.097;83.057
0.003967148;13.551;11.331;97.900
0.0009743877;4.008;4.164;97.048
0.001739978;14.607;12.014;87.172
0.001322383;20.799;18.389;92.922
0.001879176;32.967;5.350;95.763
0.001043987;27.720;21.100;86.958
0.004454341;13.354;6.210;44.967
0.001183185;66.004;21.100;86.958
0.001391983;3.394;37.876;68.493
0.002087973;1.625;9.047;86.958
0.00160078;3.910;39.761;97.900
0.001252784;8.216;7.063;67.260
0.001461582;3.910;14.013;97.307
0.003967148;14.607;11.331;96.398
0.0004175947;30.793;1.163;97.900
0.002714365;1.921;16.343;86.958
0.003967148;34.884;11.331;97.048
0.002227171;88.088;6.210;40.355
0.002018374;22.207;9.737;99.640
0.002157572;2.487;9.737;85.242
0.0009743877;3.910;16.343;26.965
0.0001391982;58.530;6.526;68.493
0.00160078;3.910;16.343;86.958
0.00382795;2.408;6.526;33.559
0.003479954;6.319;3.203;97.048
6.959911E-05;25.561;6.210;88.551
0.004106346;4.739;3.839;47.074
0.002087973;2.408;6.526;68.493
0.0005567929;14.607;17.152;97.900
0.003897549;11.022;11.198;95.763
0.001461582;51.630;16.097;89.735
0.0009743877;4.008;25.328;41.885
0.001252784;3.834;5.903;57.494
0.0009743877;3.910;39.761;97.900
0.001391983;3.394;16.632;47.151
0.0008351895;10.650;18.871;76.629
0.001531181;6.319;9.047;29.152
0.006820715;16.630;9.737;65.363
0.001322383;8.753;2.459;75.270
0.0009743877;18.614;29.146;85.141
0.003549553;4.739;7.510;71.729
0.001739978;80.541;14.321;45.747
0.002644765;9.106;5.485;82.374
0.001113586;2.487;12.192;68.493
0.006681516;16.630;6.210;95.763
0.001043987;3.910;14.272;55.662
0.004106346;8.216;16.097;94.440
0.0007655903;12.631;14.272;87.172
0.003897549;7.237;5.485;95.544
0.00382795;4.739;17.152;71.729
0.002923162;8.207;1.163;57.875
0.002435968;23.177;9.737;85.242
0.001252784;3.394;6.210;61.661
0.001531181;2.408;6.526;68.493
0.001461582;4.739;23.110;79.914
0.01002229;11.844;21.100;86.958
6.959911E-05;3.910;16.343;55.351
0.003619152;5.383;12.421;83.057
0.002227171;16.630;6.210;89.125
0.0004175947;2.487;6.526;96.526
0.001391983;25.561;3.839;87.172
0.001113586;3.910;98.053;97.307
0.005846323;9.106;5.485;82.374
0.008908696;7.643;6.210;76.280
0.002227171;6.159;21.151;61.944
0.003410355;4.739;61.067;64.128
0.0009743877;3.910;21.151;71.303
0.002227171;4.147;1.031;78.455
0.0005567929;14.607;16.632;40.355
0.002992761;6.414;14.272;87.172
0.001252784;3.394;22.133;86.958
0.00160078;3.448;14.272;38.738
0.001670379;12.631;1.163;97.866
0.001461582;3.910;16.343;39.179
0.0005567929;3.910;40.400;86.958
0.001043987;10.225;15.599;83.057
0.004802336;3.910;9.737;29.969
0.005219931;5.319;8.011;94.604
0.0009047886;17.008;2.459;26.935
0.0003479956;8.216;14.272;83.057
0.0009047886;8.207;1.163;97.900
0.002714365;17.008;2.459;49.489
0.0006263921;4.296;9.737;62.033
0.003131959;5.929;14.272;62.866
0.001670379;9.485;6.899;95.763
0.002227171;14.607;6.210;62.033
0.003410355;11.844;9.737;71.729
0.00375835;4.147;1.031;78.455
0.00306236;6.159;14.013;40.809
0.003131959;11.549;1.602;74.450
0.0009047886;3.394;39.344;87.172
0.001252784;3.394;14.013;89.049
0.003410355;16.630;9.737;26.955
0.002923162;8.207;1.163;97.900
0.004732737;8.216;7.525;71.729
0.001879176;41.386;39.761;97.900
0.004454341;16.630;6.210;95.763
0.01259746;8.216;16.097;69.453
0.0008351895;64.479;1.163;97.866
0.00306236;32.064;8.744;89.000
0.0002783964;4.008;26.893;64.235
0.01030068;13.354;7.286;79.914
0.001879176;13.354;5.347;92.790
0.004245544;14.607;12.014;87.172
0.005637525;33.754;5.350;95.763
0.0006263921;3.394;39.344;87.172
0.001670379;2.487;9.781;83.344
0.001670379;42.584;16.097;83.057
0.0001391982;71.049;17.777;82.196
0.001252784;11.844;66.275;86.958
0.0004175947;18.614;29.146;85.141
0.0004871938;2.487;9.737;85.242
0.003967148;11.549;11.331;41.885
0.0004871938;85.820;11.331;44.345
0.001113586;71.049;17.777;82.196
0.0005567929;84.977;11.198;95.763
0.00229677;11.844;9.737;74.573
0.0002087973;4.147;1.031;78.455
0.005150332;12.631;3.747;83.057
0.0002783964;88.088;16.097;90.356
0.001391983;14.673;3.839;47.074
0.005150332;14.607;7.379;80.225
0.003410355;85.820;9.737;83.057
0.0009047886;3.910;21.151;97.048
0.001879176;19.304;5.347;99.622
0.007934305;8.216;7.525;71.729
