Generasi 1;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
4.400;3.248;6.091;90.005;0.007;0.165
10.800;3.248;6.091;90.005;0.017;0.182
3.800;3.248;6.091;78.977;0.006;0.188
4.200;3.248;6.091;94.356;0.007;0.194
18.600;4.858;6.091;94.356;0.029;0.223
5.600;3.248;18.454;26.852;0.009;0.232
15.200;4.858;6.091;35.704;0.024;0.256
4.200;3.248;6.091;90.005;0.007;0.262
3.200;3.248;6.091;90.005;0.005;0.267
4.000;3.248;6.465;94.356;0.006;0.273
4.800;3.248;18.729;90.005;0.007;0.281
3.800;3.248;18.454;26.852;0.006;0.287
3.000;4.858;28.764;83.493;0.005;0.291
22.200;4.858;6.091;75.106;0.034;0.326
9.200;4.858;6.091;90.005;0.014;0.340
10.800;4.858;6.091;94.356;0.017;0.357
4.600;3.248;18.729;32.320;0.007;0.364
10.600;4.858;6.091;90.005;0.016;0.381
3.200;4.858;6.091;90.005;0.005;0.386
4.600;3.248;13.651;94.356;0.007;0.393
5.000;3.248;6.091;49.538;0.008;0.400
5.400;3.248;18.729;94.356;0.008;0.409
18.600;4.858;6.091;90.005;0.029;0.438
17.000;4.858;6.091;30.251;0.026;0.464
4.400;3.248;6.091;71.370;0.007;0.471
5.400;3.248;6.465;94.356;0.008;0.479
2.800;3.248;6.091;78.977;0.004;0.484
2.800;4.858;18.729;32.320;0.004;0.488
5.800;3.248;6.091;94.356;0.009;0.497
3.600;3.248;6.091;78.977;0.006;0.503
4.400;3.248;18.729;90.005;0.007;0.509
6.600;3.248;18.729;90.005;0.010;0.520
3.400;4.858;47.221;90.005;0.005;0.525
21.600;4.858;6.091;90.005;0.034;0.559
3.600;3.248;6.091;91.413;0.006;0.564
9.400;4.858;6.091;16.651;0.015;0.579
4.400;3.248;6.091;78.977;0.007;0.586
4.200;4.858;18.729;32.320;0.007;0.592
5.400;3.248;6.465;94.356;0.008;0.600
4.200;3.248;6.091;94.356;0.007;0.607
5.800;3.248;18.729;94.356;0.009;0.616
5.400;3.248;6.091;74.553;0.008;0.624
18.800;51.644;18.729;90.005;0.029;0.654
15.600;4.858;47.064;90.005;0.024;0.678
12.000;4.858;6.091;94.356;0.019;0.696
7.000;4.858;6.091;90.005;0.011;0.707
6.000;3.248;6.091;94.356;0.009;0.717
6.200;49.330;6.091;75.106;0.010;0.726
4.400;3.248;17.246;94.356;0.007;0.733
11.600;3.248;18.729;94.356;0.018;0.751
6.000;3.248;6.091;98.758;0.009;0.760
18.600;4.858;6.091;94.356;0.029;0.789
15.800;4.858;6.091;90.005;0.025;0.814
9.800;3.248;6.091;94.356;0.015;0.829
11.000;3.248;6.465;94.356;0.017;0.846
5.800;3.248;6.091;90.005;0.009;0.855
11.000;3.248;6.091;94.356;0.017;0.872
10.600;4.858;6.091;32.320;0.016;0.889
4.400;3.248;6.091;78.977;0.007;0.896
12.600;4.858;18.729;32.320;0.020;0.915
0.600;3.248;6.091;78.977;0.001;0.916
2.600;4.858;6.091;94.356;0.004;0.920
15.600;4.858;6.091;90.005;0.024;0.944
3.600;3.248;6.091;78.977;0.006;0.950
6.000;3.248;18.454;94.356;0.009;0.959
21.400;4.858;6.091;90.005;0.033;0.993
4.800;3.248;6.091;94.356;0.007;1.000
Nilai fitness terbaik = 22.20001;;;;;
Total fitness =  643.7997;;;;;
;;;;;
Generasi 7;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
24.800;4.858;6.091;94.356;0.039;0.039
10.600;3.248;6.091;90.005;0.017;0.055
18.600;4.858;6.091;90.005;0.029;0.084
0.400;71.023;6.091;90.005;0.001;0.085
6.200;4.858;6.091;94.356;0.010;0.094
12.400;4.858;6.091;90.005;0.019;0.114
4.200;3.248;6.091;94.356;0.007;0.120
18.600;4.858;6.091;75.106;0.029;0.149
9.600;3.248;6.091;94.356;0.015;0.164
4.400;4.858;6.091;90.005;0.007;0.171
4.800;3.248;29.241;98.758;0.007;0.178
10.600;3.248;6.091;94.356;0.017;0.195
6.200;4.858;6.091;78.977;0.010;0.205
10.800;3.248;6.091;94.356;0.017;0.221
5.400;3.248;6.091;98.758;0.008;0.230
6.200;4.858;6.091;94.356;0.010;0.239
12.400;4.858;6.091;94.356;0.019;0.259
12.400;4.858;6.091;75.106;0.019;0.278
4.800;4.858;6.091;94.356;0.007;0.285
8.600;4.858;6.091;94.356;0.013;0.299
10.600;3.248;6.091;94.356;0.017;0.315
9.600;4.858;6.091;90.005;0.015;0.330
12.400;4.858;6.091;78.977;0.019;0.350
6.400;3.248;18.729;94.356;0.010;0.360
11.200;4.858;6.091;90.005;0.017;0.377
6.200;51.644;6.091;94.356;0.010;0.387
6.200;4.858;6.091;90.005;0.010;0.396
12.000;3.248;6.091;90.005;0.019;0.415
9.800;3.248;6.091;94.356;0.015;0.430
24.800;4.858;6.091;94.356;0.039;0.469
6.200;51.644;6.091;94.356;0.010;0.479
4.600;4.858;6.091;75.106;0.007;0.486
6.000;3.248;6.091;32.320;0.009;0.495
6.200;4.858;18.454;90.005;0.010;0.505
28.000;4.858;6.091;94.356;0.044;0.548
5.800;3.248;6.091;90.005;0.009;0.557
5.600;3.248;6.091;90.005;0.009;0.566
6.200;4.858;6.091;78.977;0.010;0.576
4.200;3.248;6.091;75.106;0.007;0.582
18.600;4.858;6.091;90.005;0.029;0.611
3.800;4.858;6.091;90.005;0.006;0.617
9.800;3.248;6.091;75.106;0.015;0.632
4.400;3.248;6.091;26.852;0.007;0.639
5.000;3.248;18.454;81.846;0.008;0.647
2.200;3.248;6.091;32.320;0.003;0.650
4.400;3.248;6.091;49.538;0.007;0.657
12.200;4.858;6.091;31.519;0.019;0.676
4.000;4.858;6.091;94.356;0.006;0.682
5.800;3.248;6.091;32.320;0.009;0.691
10.600;3.248;6.091;75.106;0.017;0.708
5.400;3.248;6.091;90.005;0.008;0.716
15.200;4.858;6.091;90.005;0.024;0.740
5.800;3.248;6.091;94.356;0.009;0.749
2.000;4.858;18.454;90.005;0.003;0.752
4.400;3.248;6.091;90.005;0.007;0.759
4.800;3.248;17.246;94.356;0.007;0.767
4.800;3.248;87.659;74.553;0.007;0.774
9.000;4.858;6.091;94.356;0.014;0.788
3.600;3.248;18.729;94.356;0.006;0.794
6.400;3.248;6.465;90.005;0.010;0.804
10.800;3.248;6.091;98.758;0.017;0.820
6.200;4.858;6.091;90.005;0.010;0.830
11.400;3.248;6.091;94.356;0.018;0.848
15.800;4.858;6.465;94.356;0.025;0.872
4.600;3.248;6.091;32.320;0.007;0.880
4.400;3.248;6.091;49.538;0.007;0.886
6.200;4.858;6.091;78.977;0.010;0.896
3.400;4.858;18.729;90.005;0.005;0.901
24.800;4.858;6.091;90.005;0.039;0.940
18.600;4.858;6.091;90.005;0.029;0.969
11.400;3.248;6.091;94.356;0.018;0.987
8.600;4.858;6.091;90.005;0.013;1.000
Nilai fitness terbaik = 28.00003;;;;;
Total fitness =  642.3999;;;;;
;;;;;
Generasi 8;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
4.000;3.248;6.091;31.519;0.006;0.006
3.600;3.248;6.091;94.356;0.005;0.012
4.800;3.248;6.091;19.396;0.007;0.019
4.400;3.248;6.091;78.977;0.007;0.026
12.000;4.858;6.091;94.356;0.018;0.044
24.800;4.858;6.091;94.356;0.038;0.082
8.800;4.858;6.465;78.977;0.013;0.095
28.000;4.858;6.091;94.356;0.043;0.138
6.000;4.858;6.091;94.356;0.009;0.147
5.000;3.248;78.681;94.356;0.008;0.155
6.200;36.156;6.091;94.356;0.009;0.164
4.400;3.248;6.091;94.356;0.007;0.171
4.000;4.858;6.091;81.846;0.006;0.177
3.800;4.858;6.465;75.663;0.006;0.183
6.200;4.858;6.091;20.945;0.009;0.192
5.600;3.248;6.091;94.356;0.009;0.201
4.400;3.248;6.091;94.356;0.007;0.208
3.600;3.248;6.091;94.356;0.005;0.213
2.400;4.858;6.091;94.356;0.004;0.217
5.800;3.248;6.091;94.356;0.009;0.226
4.200;3.248;6.091;99.903;0.006;0.232
3.600;3.248;6.091;90.005;0.005;0.238
5.800;3.248;6.091;26.872;0.009;0.246
4.000;3.248;6.091;98.758;0.006;0.253
5.400;3.248;6.091;90.005;0.008;0.261
4.600;3.248;6.091;94.356;0.007;0.268
4.800;3.248;6.091;90.005;0.007;0.275
6.200;4.858;18.729;90.005;0.009;0.285
5.600;3.248;6.091;90.005;0.009;0.293
11.000;3.248;6.091;94.356;0.017;0.310
11.200;3.248;6.091;16.340;0.017;0.327
5.200;3.248;6.091;94.356;0.008;0.335
3.800;3.248;6.091;94.356;0.006;0.341
2.600;4.858;6.091;94.356;0.004;0.345
5.800;3.248;6.091;94.356;0.009;0.354
2.600;4.858;6.091;32.320;0.004;0.358
5.000;3.248;6.091;90.005;0.008;0.365
3.600;4.858;6.091;75.106;0.005;0.371
4.600;3.248;6.904;78.977;0.007;0.378
18.000;3.248;6.091;31.519;0.027;0.405
5.600;3.248;6.091;49.538;0.009;0.414
4.800;3.248;6.091;31.519;0.007;0.421
3.600;4.858;6.091;75.106;0.005;0.427
5.800;3.248;7.488;94.356;0.009;0.435
4.000;4.858;6.091;90.005;0.006;0.442
4.400;3.248;16.973;94.356;0.007;0.448
26.400;4.858;6.465;78.977;0.040;0.489
21.600;4.858;6.091;94.356;0.033;0.522
1.800;4.858;6.091;94.356;0.003;0.524
5.400;3.248;25.131;90.005;0.008;0.533
3.800;3.248;6.091;94.356;0.006;0.538
3.400;3.248;6.091;78.977;0.005;0.544
24.800;4.858;6.091;94.356;0.038;0.581
4.400;3.248;6.091;90.005;0.007;0.588
18.600;4.858;6.091;81.846;0.028;0.616
0.600;3.248;6.091;94.356;0.001;0.617
5.000;4.858;18.454;90.005;0.008;0.625
31.000;4.858;6.091;94.356;0.047;0.672
5.400;4.858;6.091;90.005;0.008;0.681
4.200;3.248;6.091;94.356;0.006;0.687
18.600;4.858;6.091;90.005;0.028;0.715
5.600;3.248;6.091;90.005;0.009;0.724
5.000;3.248;6.091;33.698;0.008;0.732
3.800;3.248;6.091;78.977;0.006;0.737
23.200;4.858;6.091;94.356;0.035;0.773
2.600;4.858;6.091;31.309;0.004;0.777
12.200;4.858;6.091;94.356;0.019;0.795
4.200;3.248;6.091;94.356;0.006;0.802
5.000;3.248;6.091;90.005;0.008;0.809
4.000;3.248;6.091;94.356;0.006;0.816
3.600;3.248;6.091;94.356;0.005;0.821
4.600;3.248;6.091;94.356;0.007;0.828
6.200;4.858;6.091;75.106;0.009;0.838
4.400;3.248;6.091;90.005;0.007;0.844
1.600;3.248;6.091;94.356;0.002;0.847
10.400;3.248;6.091;78.977;0.016;0.863
3.600;3.248;6.091;94.356;0.005;0.868
9.000;4.858;6.091;90.005;0.014;0.882
2.400;4.858;6.091;90.005;0.004;0.885
3.600;3.248;6.091;90.005;0.005;0.891
21.800;4.858;6.091;94.356;0.033;0.924
24.800;4.858;6.091;90.005;0.038;0.962
24.800;4.858;6.091;32.320;0.038;1.000
Nilai fitness terbaik = 31.00005;;;;;
Total fitness =  655.0002;;;;;
;;;;;
Generasi 9;;;;;
Fitness;Ukuran ban;Kapasitas kargo;Kapasitas bensin;Probabilitas;Probabilitas Kumulatif
6.200;4.858;6.091;16.340;0.009;0.009
4.200;3.248;6.091;81.846;0.006;0.015
5.200;3.248;6.091;26.872;0.007;0.022
4.600;3.248;6.091;94.356;0.007;0.029
3.600;3.248;6.091;32.320;0.005;0.034
4.400;3.248;25.416;94.356;0.006;0.041
6.200;91.240;6.091;90.005;0.009;0.049
4.600;3.248;6.091;26.872;0.007;0.056
9.200;4.858;6.091;94.356;0.013;0.069
6.000;3.248;6.091;81.846;0.009;0.078
5.400;3.248;6.091;94.356;0.008;0.086
24.800;4.858;6.091;94.356;0.036;0.121
4.000;3.248;6.091;32.320;0.006;0.127
6.000;3.248;6.091;94.356;0.009;0.136
12.400;4.858;6.091;90.005;0.018;0.154
6.000;3.248;6.091;90.005;0.009;0.162
4.200;3.248;6.465;94.356;0.006;0.168
15.400;4.858;6.091;78.977;0.022;0.190
5.400;3.248;6.091;94.356;0.008;0.198
6.200;4.858;6.091;94.356;0.009;0.207
5.200;3.248;7.488;94.356;0.007;0.215
4.800;3.248;30.712;94.356;0.007;0.221
24.800;4.858;6.091;94.356;0.036;0.257
6.200;16.409;6.091;94.356;0.009;0.266
4.000;3.248;6.091;83.184;0.006;0.272
5.800;3.248;6.091;94.356;0.008;0.280
12.400;4.858;6.091;75.106;0.018;0.298
18.600;4.858;6.091;75.106;0.027;0.325
5.200;3.248;6.091;26.872;0.007;0.332
8.800;4.858;6.091;78.977;0.013;0.345
12.400;4.858;6.091;94.356;0.018;0.363
4.600;3.248;6.091;94.356;0.007;0.369
3.600;3.248;6.091;94.356;0.005;0.374
3.600;3.248;13.256;94.356;0.005;0.380
5.000;3.248;6.091;26.872;0.007;0.387
3.800;3.248;6.465;90.005;0.005;0.392
2.400;4.858;6.091;94.356;0.003;0.396
5.000;3.248;6.091;94.356;0.007;0.403
5.000;3.248;6.091;94.356;0.007;0.410
1.800;4.858;6.091;78.977;0.003;0.413
28.800;4.858;6.091;78.977;0.041;0.454
3.800;3.248;6.091;81.846;0.005;0.460
4.000;3.248;6.091;94.356;0.006;0.465
2.400;3.248;6.091;94.356;0.003;0.469
5.800;3.248;6.091;94.356;0.008;0.477
4.600;3.248;6.091;33.698;0.007;0.484
3.600;3.248;6.091;60.893;0.005;0.489
5.200;4.858;6.091;90.005;0.007;0.496
3.600;4.858;6.091;90.005;0.005;0.502
9.600;4.858;6.091;94.356;0.014;0.515
18.600;4.858;6.091;94.356;0.027;0.542
9.600;3.248;6.091;32.320;0.014;0.556
5.200;3.248;6.091;90.005;0.007;0.563
5.600;3.248;6.091;94.356;0.008;0.571
3.000;4.858;6.091;31.519;0.004;0.576
24.800;4.858;6.091;94.356;0.036;0.611
5.000;3.248;6.091;6.797;0.007;0.619
11.200;3.248;6.091;94.356;0.016;0.635
3.200;4.858;6.091;90.005;0.005;0.639
10.800;3.248;6.091;32.320;0.016;0.655
5.600;3.248;6.091;94.356;0.008;0.663
4.200;3.248;6.091;90.005;0.006;0.669
